timestamp,x,y,speed_kmh,acceleration,throttle,brake,steering,gear,lap
0.0,-0.0163,0.0126,213.317,0.0,0.0,0.0,0.24,6,1
0.0167,1.0133,-0.0014,214.682,0.0,0.0,0.0,0.291,6,1
0.0333,1.8415,-0.2345,219.603,0.0,0.0,0.0,0.411,6,1
0.05,2.9677,-0.0282,213.875,0.0,0.034,0.014,0.122,6,1
0.0667,3.9589,-0.0443,214.862,0.0,0.013,0.0,-0.601,6,1
0.0833,5.0434,0.0921,218.455,0.0,0.041,0.023,-0.991,6,1
0.1,6.0086,0.1266,216.92,0.0,0.017,0.0,0.288,6,1
0.1167,7.0977,0.0399,215.057,0.0,0.0,0.04,-0.366,6,1
0.1333,7.9873,-0.0152,219.019,0.0,0.0,0.0,-0.279,6,1
0.15,8.9653,0.0806,217.841,0.0,0.01,0.025,-0.358,6,1
0.1667,10.1524,-0.0562,215.348,0.0,0.015,0.0,-0.324,6,1
0.1833,11.0733,-0.016,218.423,0.0,0.033,0.002,-0.194,6,1
0.2,12.1069,0.0138,215.811,0.0,0.0,0.0,0.786,6,1
0.2167,13.0743,0.1035,215.423,0.0,0.0,0.0,-0.399,6,1
0.2333,14.0457,0.0425,216.763,0.0,0.0,0.008,-0.002,6,1
0.25,14.8307,0.0095,215.489,0.0,0.014,0.0,0.228,6,1
0.2667,15.8484,-0.0447,214.532,0.0,0.008,0.0,0.075,6,1
0.2833,16.955,-0.0615,215.727,0.0,0.008,0.004,-0.146,6,1
0.3,17.9087,-0.0722,217.245,0.0,0.009,0.014,-0.054,6,1
0.3167,19.0708,0.0006,214.754,0.0,0.0,0.0,-0.739,6,1
0.3333,20.0145,-0.0036,213.763,0.0,0.0,0.012,-0.047,6,1
0.35,21.0926,0.0922,215.06,0.0,0.0,0.02,-0.187,6,1
0.3667,21.9984,-0.0247,217.53,0.0,0.0,0.0,0.503,6,1
0.3833,22.9924,-0.111,214.765,0.0,0.0,0.0,-0.194,6,1
0.4,24.0318,-0.0885,215.557,0.0,0.002,0.0,-0.335,6,1
0.4167,24.9885,-0.1308,216.587,0.0,0.016,0.001,0.56,6,1
0.4333,25.9863,0.089,216.336,0.0,0.004,0.015,-0.462,6,1
0.45,26.9984,0.128,214.211,0.0,0.023,0.0,0.137,6,1
0.4667,27.9434,-0.0922,213.283,0.0,0.024,0.004,0.012,6,1
0.4833,29.0357,0.0377,217.989,0.0,0.006,0.0,0.349,6,1
0.5,29.9598,0.0806,215.728,0.0,0.0,0.018,-0.534,6,1
0.5167,31.1141,0.0101,215.605,0.0,0.033,0.002,-0.269,6,1
0.5333,32.065,-0.058,215.692,0.0,0.0,0.0,-0.118,6,1
0.55,33.0428,-0.029,214.648,0.0,0.0,0.001,0.161,6,1
0.5667,34.2249,0.0106,215.036,0.0,0.006,0.018,0.196,6,1
0.5833,34.9861,-0.1337,215.574,0.0,0.0,0.021,-0.293,6,1
0.6,36.085,-0.059,218.843,0.0,0.015,0.021,0.19,6,1
0.6167,37.061,0.0617,218.377,0.0,0.037,0.0,-0.347,6,1
0.6333,38.1213,0.0003,212.903,0.0,0.004,0.0,-0.22,6,1
0.65,39.0521,0.0408,216.039,0.0,0.0,0.014,-0.001,6,1
0.6667,39.9502,0.0887,219.504,0.0,0.0,0.001,0.225,6,1
0.6833,40.9298,0.1286,215.36,0.0,0.016,0.008,0.023,6,1
0.7,41.9546,0.0233,216.636,0.0,0.0,0.037,0.318,6,1
0.7167,42.8865,0.0159,214.776,0.0,0.017,0.0,-0.294,6,1
0.7333,43.9275,-0.0041,216.694,0.0,0.009,0.039,0.171,6,1
0.75,45.0667,0.1013,216.492,0.0,0.0,0.025,0.075,6,1
0.7667,46.0042,-0.004,217.464,0.0,0.028,0.011,-0.314,6,1
0.7833,46.9446,0.0198,217.584,0.0,0.037,0.0,0.003,6,1
0.8,48.1124,-0.0642,217.307,0.0,0.034,0.0,0.053,6,1
0.8167,48.8144,-0.086,216.185,0.0,0.01,0.03,0.142,6,1
0.8333,49.9054,0.0113,217.735,0.0,0.0,0.0,0.37,6,1
0.85,50.9446,0.1758,214.796,0.0,0.0,0.003,-0.078,6,1
0.8667,52.0137,0.0908,215.724,0.0,0.015,0.0,-0.302,6,1
0.8833,53.0171,0.0195,217.262,0.0,0.012,0.0,0.333,6,1
0.9,54.0124,-0.0316,218.279,0.0,0.01,0.002,-0.12,6,1
0.9167,55.0433,-0.1277,214.839,0.0,0.0,0.017,-0.169,6,1
0.9333,55.9612,-0.0182,214.672,0.0,0.024,0.005,-0.655,6,1
0.95,56.9589,0.0602,217.043,0.0,0.0,0.0,0.489,6,1
0.9667,57.9069,0.0099,215.971,0.0,0.0,0.002,0.019,6,1
0.9833,58.9947,-0.0812,217.601,0.0,0.003,0.0,-0.169,6,1
1.0,60.0242,-0.002,215.039,0.0,0.006,0.0,-0.112,6,1
1.0167,61.0485,-0.0304,221.714,0.0,0.012,0.034,0.597,6,1
1.0333,62.0103,-0.042,214.846,0.0,0.007,0.006,-0.255,6,1
1.05,63.0033,-0.1587,216.849,0.0,0.0,0.003,0.02,6,1
1.0667,64.0345,0.0243,215.445,0.0,0.0,0.0,-0.494,6,1
1.0833,64.9446,-0.1,214.627,0.0,0.0,0.0,0.435,6,1
1.1,66.0203,0.1039,219.264,0.0,0.001,0.0,-0.037,6,1
1.1167,67.0801,0.1263,217.621,0.0,0.0,0.0,-0.087,6,1
1.1333,67.9924,0.0051,214.653,0.0,0.0,0.005,-0.309,6,1
1.15,69.0237,-0.0146,212.55,0.0,0.002,0.024,-0.13,6,1
1.1667,70.0257,0.0089,216.765,0.0,0.014,0.0,-0.522,6,1
1.1833,71.0826,0.0425,213.787,0.0,0.007,0.024,0.083,6,1
1.2,72.0009,-0.0092,218.719,-8.6966,0.0,0.735,0.097,6,1
1.2167,73.0291,0.0133,215.382,-10.8073,0.0,0.884,0.368,6,1
1.2334,74.0958,0.0444,212.468,-10.8074,0.0,0.85,-0.18,6,1
1.2502,74.9396,-0.1216,212.311,-10.8075,0.0,0.932,-0.378,6,1
1.267,76.0113,0.0618,215.069,-10.8076,0.0,0.882,0.051,6,1
1.2839,77.0005,-0.0866,214.543,-10.8077,0.0,0.858,0.038,6,1
1.3009,78.1208,-0.1549,209.607,-10.8078,0.0,0.911,0.139,6,1
1.3179,78.9707,-0.0092,214.275,-10.8079,0.0,0.922,0.452,6,1
1.3349,80.0577,-0.0233,212.098,-10.808,0.0,0.904,0.278,6,1
1.352,81.0289,0.1443,210.374,-10.8081,0.0,0.886,-0.341,6,1
1.3691,81.995,0.0385,209.722,-10.8082,0.0,0.913,-0.207,6,1
1.3864,83.0487,0.0702,211.762,-10.8083,0.0,0.906,-0.095,6,1
1.4036,84.0109,0.1331,208.788,-10.8085,0.0,0.889,0.679,6,1
1.4209,85.0859,-0.1343,205.982,-10.8086,0.0,0.885,-0.191,6,1
1.4383,85.9539,-0.0689,206.085,-10.8087,0.0,0.904,-0.174,6,1
1.4557,87.0665,-0.0072,202.541,-10.8088,0.0,0.909,0.104,6,1
1.4732,88.0529,-0.1451,206.303,-10.8089,0.0,0.865,-0.093,6,1
1.4908,88.9463,-0.0771,204.125,-10.809,0.0,0.879,-0.057,6,1
1.5084,89.9689,-0.0386,201.384,-10.8092,0.0,0.89,-0.408,6,1
1.526,90.9952,-0.0079,202.085,-10.8093,0.0,0.891,0.081,6,1
1.5438,92.0362,0.1431,202.159,-10.8094,0.0,0.913,0.156,6,1
1.5615,92.9594,0.0572,203.388,-10.8095,0.0,0.919,-0.214,6,1
1.5794,93.9098,-0.1224,202.772,-10.8097,0.0,0.86,-0.42,6,1
1.5973,95.0914,0.0944,201.641,-10.8098,0.0,0.861,0.128,6,1
1.6153,95.9853,0.0446,201.083,-10.8099,0.0,0.906,-0.269,6,1
1.6333,96.9672,-0.0076,201.037,-10.8101,0.0,0.886,0.56,6,1
1.6514,97.9189,-0.0049,198.401,-10.8102,0.0,0.899,0.038,6,1
1.6696,99.1078,-0.0505,196.767,-10.8103,0.0,0.896,-0.088,6,1
1.6878,100.0545,0.0015,199.025,-10.8105,0.0,0.921,-0.069,6,1
1.7061,101.1189,-0.0869,198.913,-10.8106,0.0,0.864,-0.567,6,1
1.7244,101.9416,0.0469,194.903,-10.8108,0.0,0.871,0.345,6,1
1.7429,102.9942,-0.0052,197.241,-10.8109,0.0,0.901,-0.103,6,1
1.7613,103.899,0.0585,195.57,-10.8111,0.0,0.925,-0.04,6,1
1.7799,105.0732,-0.0359,194.363,-10.8112,0.0,0.894,0.434,6,1
1.7985,105.9791,0.0836,192.962,-10.8114,0.0,0.898,-0.191,6,1
1.8172,106.8527,0.0555,191.503,-10.8115,0.0,0.953,0.614,6,1
1.836,107.9798,0.0094,192.29,-10.8117,0.0,0.883,-0.367,6,1
1.8549,109.1385,-0.0407,189.638,-10.8118,0.0,0.912,0.3,6,1
1.8738,110.1361,-0.1198,192.363,-10.812,0.0,0.896,0.156,6,1
1.8928,110.8989,-0.121,189.925,-10.8122,0.0,0.902,0.808,6,1
1.9118,111.907,-0.0027,188.336,-10.8123,0.0,0.893,0.012,6,1
1.931,112.9913,0.0701,187.941,-10.8125,0.0,0.909,0.066,6,1
1.9502,113.8717,-0.0653,186.148,-10.8127,0.0,0.89,-0.218,6,1
1.9695,115.159,0.0135,187.358,-10.8128,0.0,0.892,-0.067,6,1
1.9888,115.9805,-0.1687,185.215,-10.813,0.0,0.92,0.151,6,1
2.0083,117.0962,0.1757,183.487,-10.8132,0.0,0.914,-0.117,6,1
2.0278,117.984,0.0034,185.14,-10.8134,0.0,0.914,-0.716,6,1
2.0474,119.0502,-0.0815,184.27,-10.8136,0.0,0.933,-0.057,6,1
2.0671,120.0923,-0.1039,184.802,-10.8138,0.0,0.936,0.124,6,1
2.0869,121.0481,-0.033,181.054,-10.814,0.0,0.898,-0.247,6,1
2.1067,121.9692,0.0526,182.466,-10.8142,0.0,0.906,-0.25,6,1
2.1267,123.0524,-0.065,177.522,-10.8144,0.0,0.89,0.004,5,1
2.1467,124.1893,0.0567,178.995,-10.8146,0.0,0.919,-0.302,5,1
2.1668,125.1888,-0.1114,181.509,-10.8148,0.0,0.899,-0.003,6,1
2.187,125.9371,-0.0375,179.111,-10.815,0.0,0.889,0.427,5,1
2.2073,127.1121,-0.0246,177.194,-10.8152,0.0,0.914,-0.205,5,1
2.2277,127.9479,-0.0777,178.317,-10.8154,0.0,0.875,0.34,5,1
2.2482,128.954,-0.0037,175.766,-10.8156,0.0,0.877,-0.23,5,1
2.2688,130.1651,0.0609,173.973,-10.8159,0.0,0.912,0.32,5,1
2.2894,130.9007,-0.1266,174.85,-10.8161,0.0,0.908,-0.345,5,1
2.3102,132.0166,0.167,173.128,-10.8163,0.0,0.92,0.009,5,1
2.331,132.9428,-0.0193,172.102,-10.8166,0.0,0.909,-0.16,5,1
2.352,133.9858,0.0851,173.223,-10.8168,0.0,0.91,0.178,5,1
2.3731,134.9283,0.0097,171.755,-10.8171,0.0,0.878,-0.037,5,1
2.3942,135.8545,-0.0272,168.981,-10.8173,0.0,0.928,0.005,5,1
2.4155,137.0634,0.0815,168.857,-10.8176,0.0,0.888,0.208,5,1
2.4368,137.9631,-0.0689,166.41,-10.8178,0.0,0.871,-0.121,5,1
2.4583,139.0438,0.0134,167.114,-10.8181,0.0,0.912,0.433,5,1
2.4799,139.8916,0.0405,167.446,-10.8184,0.0,0.921,0.313,5,1
2.5016,140.9378,0.0613,165.387,-10.8187,0.0,0.909,-0.008,5,1
2.5234,141.9834,-0.145,164.591,-10.819,0.0,0.904,-0.47,5,1
2.5453,142.8583,0.1088,163.186,-10.8192,0.0,0.878,0.336,5,1
2.5673,144.0937,0.0054,161.522,-10.8195,0.0,0.908,0.011,5,1
2.5895,144.986,0.0523,161.433,-10.8199,0.0,0.908,-0.18,5,1
2.6117,146.0135,0.0815,162.151,-10.8202,0.0,0.931,-0.199,5,1
2.6341,147.1211,-0.0837,158.651,-10.8205,0.0,0.896,-0.387,5,1
2.6566,147.9944,0.0151,158.929,-10.8208,0.0,0.903,0.295,5,1
2.6792,149.077,-0.0187,159.314,-10.8211,0.0,0.948,0.051,5,1
2.702,149.9781,-0.0382,156.798,-10.8215,0.0,0.898,0.26,5,1
2.7249,150.9526,0.0287,158.568,-10.8218,0.0,0.929,0.387,5,1
2.7479,152.11,-0.2384,156.921,-10.8222,0.0,0.851,-0.506,5,1
2.771,152.8243,0.0473,156.058,-10.8226,0.0,0.897,-0.143,5,1
2.7943,153.9684,-0.0713,152.78,-10.8229,0.0,0.909,0.193,5,1
2.8177,155.0847,-0.026,156.172,-10.8233,0.0,0.9,-0.575,5,1
2.8413,156.0539,0.0767,151.151,-10.8237,0.0,0.883,0.025,5,1
2.865,156.9453,0.047,152.586,-10.8241,0.0,0.884,-0.17,5,1
2.8888,158.04,-0.0586,152.914,-10.8245,0.0,0.925,-0.108,5,1
2.9128,159.087,-0.0238,148.945,-10.8249,0.0,0.875,0.065,5,1
2.937,159.9876,-0.0936,148.6,-10.8254,0.0,0.925,0.163,5,1
2.9613,161.0141,0.0387,146.712,-10.8258,0.0,0.919,0.553,5,1
2.9857,162.0212,0.0276,149.519,-10.8263,0.0,0.868,-0.134,5,1
3.0103,163.0728,-0.0168,147.503,-10.8267,0.0,0.93,0.464,5,1
3.0351,163.7793,0.0248,145.987,-10.8272,0.0,0.934,-0.264,5,1
3.06,165.0218,-0.0359,143.525,-10.8277,0.0,0.886,0.112,5,1
3.0851,166.088,-0.1169,143.066,-10.8282,0.0,0.913,-0.083,5,1
3.1104,167.0689,-0.0759,142.581,-10.8287,0.0,0.942,0.471,5,1
3.1359,168.0435,-0.083,140.103,-10.8293,0.0,0.893,-0.787,5,1
3.1615,168.9412,0.0613,139.733,-10.8298,0.0,0.951,-0.131,5,1
3.1873,169.9385,0.0898,138.502,-10.8304,0.0,0.887,0.088,5,1
3.2133,170.9809,0.0471,137.945,-10.831,0.0,0.905,-0.301,5,1
3.2395,172.1069,0.0282,135.485,-10.8316,0.0,0.921,-0.025,5,1
3.2659,173.0286,-0.0531,136.389,-10.8322,0.0,0.902,-0.238,5,1
3.2925,174.0936,-0.1311,133.648,-10.8328,0.0,0.9,-0.57,5,1
3.3193,175.1178,0.0626,133.121,-10.8335,0.0,0.856,-0.06,5,1
3.3463,176.0268,-0.0294,133.417,-10.8342,0.0,0.899,0.18,5,1
3.3736,176.9631,0.189,129.745,-10.8349,0.0,0.928,-0.217,4,1
3.401,177.966,0.0845,130.116,-10.8356,0.0,0.898,0.48,5,1
3.4287,178.8812,0.1081,130.853,-10.8363,0.0,0.903,-0.102,5,1
3.4566,179.995,0.047,128.414,-10.8371,0.0,0.936,0.323,4,1
3.4847,180.9324,-0.0721,127.919,-10.8379,0.0,0.943,0.025,4,1
3.5131,181.953,-0.0044,125.902,-10.8387,0.0,0.899,-0.419,4,1
3.5418,183.0485,-0.0755,124.996,-10.8396,0.0,0.919,-0.413,4,1
3.5707,183.9675,-0.0069,124.358,-10.8405,0.0,0.922,0.486,4,1
3.5998,185.0388,0.0021,123.136,-10.8414,0.0,0.902,0.018,4,1
3.6293,185.9918,0.0953,120.435,-10.8424,0.0,0.923,0.043,4,1
3.659,187.1258,0.0897,121.261,-10.8434,0.0,0.893,-0.113,4,1
3.689,188.1622,-0.0494,119.64,-10.8444,0.0,0.897,0.345,4,1
3.7192,189.0149,-0.0943,118.926,-10.8455,0.0,0.917,0.559,4,1
3.7498,189.9119,-0.0755,118.015,-10.8466,0.0,0.863,0.188,4,1
